Instructor,Course,Semester,Program,Q1,Q1-P,Q1-U,Q2,Q2-P,Q2-U,Q3,Q3-P,Q3-U,Q4,Q4-P,Q4-U,Q5,Q5-P,Q5-U,Q6,Q6-P,Q6-U,Q7,Q7-P,Q7-U,Q8,Q8-P,Q8-U,Q9,Q9-P,Q9-U,Q10,Q10-P,Q10-U,Q11,Q11-P,Q11-U,Q12
"Abraham, Sarah Anne",C S103F,Spring 2019,Computer Science,4.7,4.4,4.5,4.6,4.5,4.6,4.7,4.2,4.4,4.6,4.4,4.5,4.6,4.4,4.6,4.3,4.2,4.4,4.8,4.4,4.5,4.2,4.0,4.3,4.0,4.3,4.4,4.6,4.2,4.4,4.0,4.0,4.1,About right
"Norman, Alison N",C S103F,Spring 2019,Computer Science,4.4,4.4,4.5,4.3,4.5,4.6,4.3,4.2,4.4,4.4,4.4,4.5,4.5,4.4,4.6,3.9,4.2,4.4,4.7,4.4,4.5,4.1,4.0,4.3,3.9,4.3,4.4,4.3,4.2,4.4,4.0,4.0,4.1,About right
"Chen, Jia",C S105,Spring 2016,Computer Science,4.3,4.3,4.5,4.4,4.4,4.6,4.1,4.2,4.4,4.2,4.3,4.4,4.4,4.4,4.5,4.2,4.2,4.3,4.2,4.4,4.5,4.3,4.0,4.2,4.3,4.3,4.4,4.1,4.2,4.3,4.0,4.0,4.1,Somewhat high
"Peters, Arthur M",C S105,Fall 2015,Computer Science,4.5,4.3,4.4,4.4,4.4,4.5,4.4,4.2,4.3,4.6,4.3,4.4,4.6,4.4,4.5,4.3,4.1,4.3,4.5,4.4,4.4,4.0,4.0,4.2,4.4,4.3,4.3,4.4,4.2,4.3,4.2,4.0,4.0,About right
"Peters, Arthur M",C S105,Spring 2016,Computer Science,4.1,4.3,4.5,3.9,4.4,4.6,4.3,4.2,4.4,4.2,4.3,4.4,4.3,4.4,4.5,4.0,4.2,4.3,4.1,4.4,4.5,4.0,4.0,4.2,4.3,4.3,4.4,4.3,4.2,4.3,4.2,4.0,4.1,Somewhat high
"Thompson, Lee P",C S105,Spring 2015,Computer Science,4.5,4.2,4.4,4.2,4.3,4.6,4.4,4.1,4.3,4.2,4.2,4.4,4.7,4.4,4.5,4.2,4.1,4.3,4.7,4.4,4.5,4.0,4.0,4.2,4.5,4.2,4.3,4.3,4.1,4.3,4.0,3.9,4.0,Somewhat high
"Thompson, Lee P",C S105,Fall 2015,Computer Science,4.4,4.3,4.4,4.3,4.4,4.5,4.3,4.2,4.3,4.3,4.3,4.4,4.5,4.4,4.5,3.9,4.1,4.3,4.4,4.4,4.4,4.1,4.0,4.2,4.5,4.3,4.3,4.1,4.2,4.3,4.0,4.0,4.0,About right
"Thywissen, John",C S105,Fall 2015,Computer Science,4.6,4.3,4.4,4.7,4.4,4.5,4.4,4.2,4.3,4.5,4.3,4.4,4.7,4.4,4.5,4.5,4.1,4.3,4.5,4.4,4.4,4.6,4.0,4.2,4.7,4.3,4.3,4.4,4.2,4.3,4.1,4.0,4.0,About right
"Thywissen, John",C S105,Spring 2016,Computer Science,4.6,4.3,4.5,4.5,4.4,4.6,4.4,4.2,4.4,4.5,4.3,4.4,4.6,4.4,4.5,4.6,4.2,4.3,4.6,4.4,4.5,4.8,4.0,4.2,4.8,4.3,4.4,4.5,4.2,4.3,4.6,4.0,4.1,Somewhat high
"Trejo, Adrian",C S105C,Fall 2018,Computer Science,4.3,4.5,4.5,4.4,4.6,4.6,4.4,4.3,4.3,4.6,4.4,4.5,4.6,4.5,4.5,4.2,4.3,4.3,4.4,4.4,4.5,4.4,4.1,4.2,4.4,4.4,4.4,3.7,4.3,4.3,3.7,4.1,4.1,Somewhat high
"Trejo, Adrian",C S105C,Spring 2019,Computer Science,4.5,4.4,4.5,4.4,4.5,4.6,4.4,4.2,4.4,4.6,4.4,4.5,4.8,4.4,4.6,4.3,4.2,4.4,4.5,4.4,4.5,4.4,4.0,4.3,4.4,4.3,4.4,3.9,4.2,4.4,3.9,4.0,4.1,Somewhat high
"Peters, Arthur M",C S105P,Spring 2017,Computer Science,4.3,4.4,4.5,4.8,4.5,4.6,4.3,4.2,4.4,4.6,4.3,4.4,4.6,4.4,4.5,3.9,4.2,4.4,4.6,4.4,4.5,3.9,4.0,4.2,4.2,4.3,4.4,4.3,4.2,4.3,4.0,4.0,4.1,About right
