sent,token,label
0,--,--
0,CS,
0,311H,
0,:,
0,Discrete,
0,Math,
0,Honors,
1,--,--
1,Logistical,
1,Information,
1,:,
2,--,--
2,Instructor,
2,:,
2,Işıl,
2,Dillig,
3,--,--
3,Lecture,
3,time,
3,:,
3,Tuesday,
3,,,
3,Thursday,
3,2:00,
3,pm,
3,-,
3,3:15,
3,pm,
4,--,--
4,Lecture,
4,room,
4,:,
4,GDC,
4,1.304,
5,--,--
5,Discussion,
5,sections,
5,:,
5,Friday,
5,1-2,
5,pm,
5,(,
5,GDC,
5,1.406,
5,),
5,and,
5,Friday,
5,2-3,
5,pm,
5,(,
5,JGB,
5,2.202,
5,),
6,--,--
6,Instructor,
6,e-mail,
6,:,
6,isil,
6,@,
6,cs.utexas.edu,
7,--,--
7,Instructor,
7,office,
7,hours,
7,:,
7,Tuesday,
7,,,
7,Thursday,
7,3:15-4:00,
7,pm,
8,--,--
8,TA,
8,#,
8,1,
8,:,
8,Ben,
8,Mariano,
8,(,
8,bmariano,
8,@,
8,cs.utexas.edu,
8,),
8,,,
8,Office,
8,hours,
8,:,
8,Monday,
8,9-11am,
8,(,
8,GDC,
8,5.710B,
8,),
9,--,--
9,TA,
9,#,
9,2,
9,:,
9,Maruth,
9,Goyal,
9,(,
9,maruth,
9,@,
9,utexas.edu,
9,),
9,,,
9,Office,
9,hours,
9,:,
9,Wednesday,
9,2-4,
9,pm,
9,(,
9,GDC,
9,5.710B,
9,),
10,--,--
10,Prerequisites,
10,:,
10,Admission,
10,to,
10,the,
10,CS,
10,Turing,
10,Scholars,
10,program,
11,--,--
11,Textbook,
11,(,
11,optional,
11,),
11,:,
12,--,--
12,Kenneth,
12,H.,
12,Rosen,
12,,,
12,Discrete,
12,Mathematics,
12,and,
12,Its,
12,Applications,
12,,,
12,7th,
12,edition,
12,.,
13,--,--
13,Course,
13,Webpage,
13,:,
13,http,
13,:,
13,//www.cs.utexas.edu/~idillig/cs311h/,
14,--,--
14,Course,
14,Description,
14,:,
15,--,--
15,This,
15,course,
15,covers,
15,elementary,
15,discrete,
15,mathematics,
15,for,
15,computer,
15,science,
15,.,
16,--,--
16,It,
16,emphasizes,
16,mathematical,
16,definitions,
16,,,
16,logical,
16,inference,
16,,,
16,and,
16,proof,
16,techniques,
16,.,
17,--,--
17,Topics,
17,include,
17,propositional,
17,logic,
17,,,
17,first-order,
17,logic,
17,,,
17,proof,
17,methods,
17,;,
17,sets,
17,,,
17,functions,
17,,,
17,relations,
17,;,
17,mathematical,
17,induction,
17,,,
17,recursion,
17,;,
17,elementary,
17,graph,
17,theory,
17,;,
17,basic,
17,complexity,
17,theory,
17,,,
17,recurrences,
17,.,
18,--,--
18,Please,
18,refer,
18,to,
18,the,
18,syllabus,
18,for,
18,a,
18,more,
18,detailed,
18,description,
18,.,
19,--,--
19,Requirements,
19,and,
19,Grading,
19,:,
19,•,
19,This,
19,course,
19,has,
19,three,
19,in-class,
19,exams,
19,.,
20,--,--
20,Each,
20,midterm,
20,will,
20,be,
20,closed-book,
20,,,
20,but,
20,you,
20,can,
20,bring,
20,up,
20,to,
20,three,
20,sheets,
20,of,
20,notes,
20,(,
20,``,
20,cheat,
20,sheets,
20,'',
20,written,
20,or,
20,typed,
20,by,
20,you,
20,),
20,to,
20,the,
20,exam,
20,.,
21,--,--
21,•,
21,Each,
21,midterm,
21,counts,
21,for,
21,25,
21,%,
21,of,
21,your,
21,final,
21,grade,
21,.,
22,--,--
22,•,
22,No,
22,make-up,
22,exams,
22,will,
22,be,
22,given,
22,(,
22,except,
22,in,
22,cases,
22,of,
22,documented,
22,medical,
22,emergencies,
22,),
22,.,
23,--,--
23,http,
23,:,
23,//www.cs.utexas.edu/,
23,%,
23,7Eisil/http,
23,:,
23,//www.cs.utexas.edu/,
23,%,
23,7Eisil/cs311h/index.htmlhttp,
23,:,
23,//www.cs.utexas.edu/,
23,%,
23,7Eisil/cs311h/,
23,#,
23,syllabus•,
23,There,
23,will,
23,be,
23,weekly,
23,problem,
23,sets,
23,.,
24,--,--
24,These,
24,assignments,
24,do,
24,not,
24,involve,
24,any,
24,programming,
24,,,
24,and,
24,will,
24,help,
24,you,
24,better,
24,understand,
24,the,
24,material,
24,taught,
24,in,
24,the,
24,class,
24,as,
24,well,
24,as,
24,prepare,
24,you,
24,for,
24,the,
24,in-class,
24,exams,
24,.,
25,--,--
25,The,
25,problem,
