token	LABEL
CS	O
311H	O
:	O
Discrete	O
Math	O
Honors	O
Logistical	O
Information	O
:	O
Instructor	O
:	O
Işıl	O
Dillig	PERSON
Lecture	O
time	O
:	O
Tuesday	DATE
	O
Thursday	DATE
2:00	DATE
pm	DATE
-	O
3:15	DATE
pm	DATE
Lecture	O
room	O
:	O
GDC	LOCATION
1.304	LOCATION
Discussion	O
sections	O
:	O
Friday	DATE
2-Jan	DATE
pm	DATE
(	O
GDC	LOCATION
1.406	LOCATION
)	O
and	O
Friday	DATE
3-Feb	DATE
pm	DATE
(	O
JGB	LOCATION
2.202	LOCATION
)	O
Instructor	O
e-mail	O
:	O
isil	EMAIL
@	EMAIL
cs.utexas.edu	EMAIL
Instructor	O
office	O
hours	O
:	O
Tuesday	DATE
	O
Thursday	DATE
3:15-4:00	DATE
pm	DATE
TA	O
#	O
1	O
:	O
Ben	PERSON
Mariano	PERSON
(	O
bmariano	EMAIL
@	EMAIL
cs.utexas.edu	EMAIL
)	O
	O
Office	O
hours	O
:	O
Monday	DATE
9-11am	DATE
(	O
GDC	LOCATION
5.710B	LOCATION
)	O
TA	O
#	O
2	O
:	O
Maruth	PERSON
Goyal	PERSON
(	O
maruth	EMAIL
@	EMAIL
utexas.edu	EMAIL
)	O
	O
Office	O
hours	O
:	O
Wednesday	DATE
4-Feb	DATE
pm	DATE
(	O
GDC	LOCATION
5.710B	LOCATION
)	O
Prerequisites	O
:	O
Admission	O
to	O
the	O
CS	O
Turing	O
Scholars	O
program	O
Textbook	O
(	O
optional	O
)	O
:	O
Kenneth	PERSON
H.	PERSON
Rosen	PERSON
	O
Discrete	O
Mathematics	O
and	O
Its	O
Applications	O
	O
7th	O
edition	O
.	O
Course	O
Webpage	O
:	O
http	O
:	O
//www.cs.utexas.edu/~idillig/cs311h/	WEBSITE
Course	O
Description	O
:	O
This	O
course	O
covers	O
elementary	O
discrete	O
mathematics	O
for	O
computer	O
science	O
.	O
It	O
emphasizes	O
mathematical	O
definitions	O
	O
logical	O
inference	O
	O
and	O
proof	O
techniques	O
.	O
Topics	O
include	O
propositional	O
logic	O
	O
first-order	O
logic	O
	O
proof	O
methods	O
;	O
sets	O
	O
functions	O
	O
relations	O
;	O
mathematical	O
induction	O
	O
recursion	O
;	O
elementary	O
graph	O
theory	O
;	O
basic	O
complexity	O
theory	O
	O
recurrences	O
.	O
Please	O
refer	O
to	O
the	O
syllabus	O
for	O
a	O
more	O
detailed	O
description	O
.	O
Requirements	O
and	O
Grading	O
:	O
•	O
This	O
course	O
has	O
three	O
in-class	O
exams	O
.	O
Each	O
midterm	O
will	O
be	O
closed-book	O
	O
but	O
you	O
can	O
bring	O
up	O
to	O
three	O
sheets	O
of	O
notes	O
(	O
``	O
cheat	O
sheets	O
''	O
written	O
or	O
typed	O
by	O
you	O
)	O
to	O
the	O
exam	O
.	O
•	O
Each	O
midterm	O
counts	O
for	O
25	O
%	O
of	O
your	O
final	O
grade	O
.	O
•	O
No	O
make-up	O
exams	O
will	O
be	O
given	O
(	O
except	O
in	O
cases	O
of	O
documented	O
medical	O
emergencies	O
)	O
.	O
http	O
:	O
//www.cs.utexas.edu/	WEBSITE
%	WEBSITE
7Eisil/http	WEBSITE
:	WEBSITE
//www.cs.utexas.edu/	WEBSITE
%	WEBSITE
7Eisil/cs311h/index.htmlhttp	WEBSITE
:	WEBSITE
//www.cs.utexas.edu/	WEBSITE
%	WEBSITE
7Eisil/cs311h/	WEBSITE
#	WEBSITE
syllabus•	WEBSITE
There	O
will	O
be	O
weekly	O
problem	O
sets	O
.	O
These	O
assignments	O
do	O
not	O
involve	O
any	O
programming	O
	O
and	O
will	O
help	O
you	O
better	O
understand	O
the	O
material	O
taught	O
in	O
the	O
class	O
as	O
well	O
as	O
prepare	O
you	O
for	O
the	O
in-class	O
exams	O
.	O
The	O
problem	O
sets	O
collectively	O
count	O
for	O
25	O
%	O
of	O
your	O
final	O
grade	O
.	O
•	O
There	O
may	O
be	O
a	O
curve	O
of	O
the	O
final	O
grades	O
	O
although	O
the	O
lower	O
bounds	O
of	O
the	O
standard	O
scale	O
are	O
guaranteed	O
	O
i.e.	O
	O
you	O
will	O
get	O
an	O
A-	O
or	O
A	O
if	O
your	O
grade	O
is	O
90	O
or	O
above	O
	O
a	O
B	O
(	O
-/+	O
)	O
if	O
it	O
is	O
80-89	O
	O
etc	O
.	O
Homework	O
Policies	O
:	O
•	O
Each	O
assignment	O
is	O
due	O
at	O
the	O
beginning	O
of	O
class	O
on	O
the	O
indicated	O
date	O
.	O
•	O
Each	O
homework	O
should	O
be	O
done	O
in	O
accordance	O
with	O
the	O
Honor	O
Code	O
.	O
•	O
No	O
late	O
assignments	O
will	O
be	O
accepted	O
	O
but	O
we	O
will	O
drop	O
your	O
lowest	O
homework	O
score	O
for	O
calculating	O
final	O
grades	O
.	O
•	O
Solutions	O
to	O
problems	O
sets	O
must	O
be	O
typeset	O
using	O
LaTeX	O
.	O
Extra	O
Credit	O
:	O
•	O
This	O
class	O
will	O
have	O
extra	O
credit	O
assignments	O
that	O
can	O
help	O
you	O
boost	O
your	O
exam	O
scores	O
(	O
by	O
up	O
to	O
10	O
%	O
)	O
.	O
•	O
The	O
extra	O
credit	O
assignments	O
will	O
involve	O
doing	O
machine-checked	O
proofs	O
in	O
Coq	O
	O
which	O
you	O
will	O
learn	O
about	O
during	O
discussion	O
